date;
31/12/2019;0
1/1/2020;0
2/1/2020;0
3/1/2020;0
4/1/2020;0
5/1/2020;0
6/1/2020;0
7/1/2020;0
8/1/2020;0
9/1/2020;0
10/1/2020;0
11/1/2020;0
12/1/2020;0
13/1/2020;0
14/1/2020;0
15/1/2020;0
16/1/2020;0
17/1/2020;0
18/1/2020;0
19/1/2020;0
20/1/2020;0
21/1/2020;0
22/1/2020;0
23/1/2020;0
24/1/2020;0
25/1/2020;0
26/1/2020;0
27/1/2020;0
28/1/2020;0
29/1/2020;0
30/1/2020;0
31/1/2020;3
1/2/2020;3
2/2/2020;3
3/2/2020;3
4/2/2020;3
5/2/2020;3
6/2/2020;3
7/2/2020;3
8/2/2020;3
9/2/2020;3
10/2/2020;3
11/2/2020;3
12/2/2020;3
13/2/2020;3
14/2/2020;3
15/2/2020;3
16/2/2020;3
17/2/2020;3
18/2/2020;3
19/2/2020;3
20/2/2020;3
21/2/2020;3
22/2/2020;17
23/2/2020;79
24/2/2020;132
25/2/2020;229
26/2/2020;322
27/2/2020;400
28/2/2020;650
29/2/2020;888
1/3/2020;1128
2/3/2020;1689
3/3/2020;2036
4/3/2020;2502
5/3/2020;3089
6/3/2020;3858
7/3/2020;4636
8/3/2020;5883
9/3/2020;7375
10/3/2020;9172
11/3/2020;10149
12/3/2020;12462
13/3/2020;15113
14/3/2020;17660
15/3/2020;21157
16/3/2020;23980
17/3/2020;27980
18/3/2020;31506
19/3/2020;35713
20/3/2020;41035
